seller id,seller name,seller city,country,website,email
19,PrimeNest New,New Delhi,India,https://www.primenest-newdelhi.com,contact@primenest-newdelhi.com
20,DailyLane Mumbai,Mumbai,India,https://www.dailylane-mumbai.com,contact@dailylane-mumbai.com
21,QuickMart Bengaluru,Bengaluru,India,https://www.quickmart-bengaluru.com,contact@quickmart-bengaluru.com
22,Skyline Shop Pune,Pune,India,https://www.skylineshop-pune.com,contact@skylineshop-pune.com
23,Aster Market Jurong,Jurong East,Singapore,https://www.astermarket-jurongeast.com,contact@astermarket-jurongeast.com
24,Nova Retail Jurong,Jurong East,Singapore,https://www.novaretail-jurongeast.com,contact@novaretail-jurongeast.com
25,PrimeNest Bukit,Bukit Batok,Singapore,https://www.primenest-bukitbatok.com,contact@primenest-bukitbatok.com
26,LotusMart Jurong,Jurong East,Singapore,https://www.lotusmart-jurongeast.com,contact@lotusmart-jurongeast.com
27,Nimbus Store Tampines,Tampines,Singapore,https://www.nimbusstore-tampines.com,contact@nimbusstore-tampines.com
28,Urban Cart Bedok,Bedok,Singapore,https://www.urbancart-bedok.com,contact@urbancart-bedok.com
29,Orbit Retail Yishun,Yishun,Singapore,https://www.orbitretail-yishun.com,contact@orbitretail-yishun.com
30,Nova Retail Bedok,Bedok,Singapore,https://www.novaretail-bedok.com,contact@novaretail-bedok.com
31,BrightBuy Yishun,Yishun,Singapore,https://www.brightbuy-yishun.com,contact@brightbuy-yishun.com
32,QuickMart Jurong,Jurong East,Singapore,https://www.quickmart-jurongeast.com,contact@quickmart-jurongeast.com
33,FreshPulse Bukit,Bukit Batok,Singapore,https://www.freshpulse-bukitbatok.com,contact@freshpulse-bukitbatok.com
34,LotusMart Bukit,Bukit Batok,Singapore,https://www.lotusmart-bukitbatok.com,contact@lotusmart-bukitbatok.com
35,Aster Market Woodlands,Woodlands,Singapore,https://www.astermarket-woodlands.com,contact@astermarket-woodlands.com
36,DailyLane Jurong,Jurong East,Singapore,https://www.dailylane-jurongeast.com,contact@dailylane-jurongeast.com
37,BlueBasket Tampines,Tampines,Singapore,https://www.bluebasket-tampines.com,contact@bluebasket-tampines.com
38,Urban Cart Tampines,Tampines,Singapore,https://www.urbancart-tampines.com,contact@urbancart-tampines.com
39,Maple Commerce Jurong,Jurong East,Singapore,https://www.maplecommerce-jurongeast.com,contact@maplecommerce-jurongeast.com
40,TechTrail Yishun,Yishun,Singapore,https://www.techtrail-yishun.com,contact@techtrail-yishun.com
41,DailyLane Petaling,Petaling Jaya,Malaysia,https://www.dailylane-petalingjaya.com,contact@dailylane-petalingjaya.com
42,Nimbus Store Petaling,Petaling Jaya,Malaysia,https://www.nimbusstore-petalingjaya.com,contact@nimbusstore-petalingjaya.com
43,Vista Goods Kuala,Kuala Lumpur,Malaysia,https://www.vistagoods-kualalumpur.com,contact@vistagoods-kualalumpur.com
44,DailyLane Johor,Johor Bahru,Malaysia,https://www.dailylane-johorbahru.com,contact@dailylane-johorbahru.com
45,TechTrail Shah,Shah Alam,Malaysia,https://www.techtrail-shahalam.com,contact@techtrail-shahalam.com
46,BrightBuy Johor,Johor Bahru,Malaysia,https://www.brightbuy-johorbahru.com,contact@brightbuy-johorbahru.com
47,DailyLane Kuala,Kuala Lumpur,Malaysia,https://www.dailylane-kualalumpur.com,contact@dailylane-kualalumpur.com
48,LotusMart Petaling,Petaling Jaya,Malaysia,https://www.lotusmart-petalingjaya.com,contact@lotusmart-petalingjaya.com
49,Orbit Retail Shah,Shah Alam,Malaysia,https://www.orbitretail-shahalam.com,contact@orbitretail-shahalam.com
50,BlueBasket Petaling,Petaling Jaya,Malaysia,https://www.bluebasket-petalingjaya.com,contact@bluebasket-petalingjaya.com
51,Urban Cart Sharjah,Sharjah,United Arab Emirates,https://www.urbancart-sharjah.com,contact@urbancart-sharjah.com
52,Aster Market Abu,Abu Dhabi,United Arab Emirates,https://www.astermarket-abudhabi.com,contact@astermarket-abudhabi.com
53,Orbit Retail Dubai,Dubai,United Arab Emirates,https://www.orbitretail-dubai.com,contact@orbitretail-dubai.com
54,PrimeNest Dubai,Dubai,United Arab Emirates,https://www.primenest-dubai.com,contact@primenest-dubai.com
55,LotusMart Dubai,Dubai,United Arab Emirates,https://www.lotusmart-dubai.com,contact@lotusmart-dubai.com
56,Skyline Shop Sharjah,Sharjah,United Arab Emirates,https://www.skylineshop-sharjah.com,contact@skylineshop-sharjah.com
57,QuickMart Abu,Abu Dhabi,United Arab Emirates,https://www.quickmart-abudhabi.com,contact@quickmart-abudhabi.com
58,LotusMart Dubai,Dubai,United Arab Emirates,https://www.lotusmart-dubai.com,contact@lotusmart-dubai.com
59,BlueBasket Abu,Abu Dhabi,United Arab Emirates,https://www.bluebasket-abudhabi.com,contact@bluebasket-abudhabi.com
60,MetroHub Sharjah,Sharjah,United Arab Emirates,https://www.metrohub-sharjah.com,contact@metrohub-sharjah.com
61,Orbit Retail Birmingham,Birmingham,United Kingdom,https://www.orbitretail-birmingham.com,contact@orbitretail-birmingham.com
62,TechTrail Birmingham,Birmingham,United Kingdom,https://www.techtrail-birmingham.com,contact@techtrail-birmingham.com
63,QuickMart Manchester,Manchester,United Kingdom,https://www.quickmart-manchester.com,contact@quickmart-manchester.com
64,MetroHub Birmingham,Birmingham,United Kingdom,https://www.metrohub-birmingham.com,contact@metrohub-birmingham.com
65,MetroHub London,London,United Kingdom,https://www.metrohub-london.com,contact@metrohub-london.com
66,BlueBasket London,London,United Kingdom,https://www.bluebasket-london.com,contact@bluebasket-london.com
67,Orbit Retail Manchester,Manchester,United Kingdom,https://www.orbitretail-manchester.com,contact@orbitretail-manchester.com
68,Orbit Retail Birmingham,Birmingham,United Kingdom,https://www.orbitretail-birmingham.com,contact@orbitretail-birmingham.com
69,PrimeNest London,London,United Kingdom,https://www.primenest-london.com,contact@primenest-london.com
70,Nova Retail Birmingham,Birmingham,United Kingdom,https://www.novaretail-birmingham.com,contact@novaretail-birmingham.com
71,FreshPulse Munich,Munich,Germany,https://www.freshpulse-munich.com,contact@freshpulse-munich.com
72,Orbit Retail Berlin,Berlin,Germany,https://www.orbitretail-berlin.com,contact@orbitretail-berlin.com
73,FreshPulse Hamburg,Hamburg,Germany,https://www.freshpulse-hamburg.com,contact@freshpulse-hamburg.com
74,Nimbus Store Berlin,Berlin,Germany,https://www.nimbusstore-berlin.com,contact@nimbusstore-berlin.com
75,LotusMart Hamburg,Hamburg,Germany,https://www.lotusmart-hamburg.com,contact@lotusmart-hamburg.com
76,Orbit Retail Hamburg,Hamburg,Germany,https://www.orbitretail-hamburg.com,contact@orbitretail-hamburg.com
77,Maple Commerce Berlin,Berlin,Germany,https://www.maplecommerce-berlin.com,contact@maplecommerce-berlin.com
78,Urban Cart Munich,Munich,Germany,https://www.urbancart-munich.com,contact@urbancart-munich.com
79,Orbit Retail Marseille,Marseille,France,https://www.orbitretail-marseille.com,contact@orbitretail-marseille.com
80,Urban Cart Lyon,Lyon,France,https://www.urbancart-lyon.com,contact@urbancart-lyon.com
81,PrimeNest Lyon,Lyon,France,https://www.primenest-lyon.com,contact@primenest-lyon.com
82,Nimbus Store Marseille,Marseille,France,https://www.nimbusstore-marseille.com,contact@nimbusstore-marseille.com
83,TechTrail Marseille,Marseille,France,https://www.techtrail-marseille.com,contact@techtrail-marseille.com
84,Nimbus Store Marseille,Marseille,France,https://www.nimbusstore-marseille.com,contact@nimbusstore-marseille.com
85,HomeHarbor Marseille,Marseille,France,https://www.homeharbor-marseille.com,contact@homeharbor-marseille.com
86,Orbit Retail Marseille,Marseille,France,https://www.orbitretail-marseille.com,contact@orbitretail-marseille.com
